0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
68756.0,71142.0,69959.0,71920.0,69124.0,73291.0,70457.0,67544.0,70661.0,70590.0,74754.0,73330.0,72277.0,74845.0,71237.0,67006.0,70457.0,70877.0,66630.0,73390.0,75078.0,71125.0,70847.0,67701.0,73930.0,73547.0,71866.0,72672.0,71471.0,73454.0,73572.0,73730.0,73609.0,67926.0,71936.0,70660.0,71388.0,71564.0,71862.0,70276.0,69677.0,73330.0,71707.0,70482.0,69816.0,69581.0,73658.0,74648.0,73507.0,73392.0,70580.0,73176.0,69304.0,69337.0,75040.0,70386.0,71903.0,69730.0,70040.0,70434.0,72577.0,73729.0,70552.0,69072.0,69056.0,73339.0,71498.0,70373.0,69711.0,72342.0,70920.0,74427.0,69875.0,69296.0,70129.0,72336.0,71259.0,70675.0,69595.0,70600.0,71485.0,71760.0,69293.0,66560.0,71688.0,71997.0,72461.0,68651.0,69081.0,73762.0,72247.0,70670.0,69698.0,77348.0,73650.0,75497.0,70602.0,71645.0,71989.0,70606.0
66888.0,65327.0,70039.0,70427.0,69475.0,72281.0,68345.0,67955.0,72490.0,67915.0,71330.0,69163.0,65761.0,72642.0,69661.0,71206.0,72341.0,69448.0,71455.0,65189.0,72949.0,72997.0,68862.0,71456.0,66762.0,65996.0,74259.0,66445.0,67989.0,75329.0,70798.0,68694.0,72241.0,65956.0,69719.0,65420.0,67981.0,74364.0,66458.0,66999.0,72747.0,69142.0,69430.0,70419.0,67351.0,71906.0,70337.0,67797.0,71571.0,70765.0,68408.0,66616.0,70414.0,69089.0,67964.0,68723.0,73146.0,64773.0,68537.0,73383.0,68687.0,66300.0,69899.0,66682.0,68605.0,73673.0,69764.0,74681.0,68315.0,68208.0,68072.0,70057.0,69484.0,70526.0,74566.0,67440.0,65552.0,68308.0,70730.0,69178.0,73339.0,71750.0,71566.0,66560.0,74007.0,67928.0,68915.0,69202.0,69745.0,67812.0,68464.0,68829.0,69622.0,71741.0,66801.0,67812.0,69430.0,66045.0,73711.0,71443.0
70201.0,70882.0,72145.0,74413.0,73304.0,76739.0,69516.0,70328.0,66000.0,67960.0,73315.0,68439.0,69934.0,70828.0,67384.0,71102.0,70341.0,69544.0,69937.0,68692.0,71138.0,67695.0,72421.0,72615.0,71483.0,69701.0,74072.0,71711.0,72927.0,77926.0,68262.0,70043.0,68135.0,67263.0,72660.0,70018.0,66717.0,76191.0,69396.0,69329.0,69744.0,66595.0,70528.0,71880.0,66981.0,70805.0,69954.0,71264.0,66949.0,69739.0,71427.0,71694.0,70030.0,72561.0,70783.0,70730.0,69304.0,71931.0,72579.0,72629.0,69494.0,66167.0,73921.0,67971.0,67634.0,81327.0,66057.0,77547.0,72342.0,70661.0,68303.0,70167.0,68269.0,65470.0,66237.0,66398.0,69668.0,69660.0,70807.0,68031.0,77947.0,67081.0,71033.0,67579.0,66864.0,69607.0,70042.0,68433.0,65677.0,71671.0,67862.0,68126.0,75662.0,67289.0,70904.0,70113.0,72669.0,68621.0,68291.0,70095.0
66684.0,69980.0,81221.0,76367.0,72846.0,73242.0,72393.0,69757.0,72415.0,69021.0,73159.0,70070.0,71188.0,65333.0,69370.0,72335.0,74932.0,74602.0,71935.0,64893.0,72191.0,74472.0,69932.0,73752.0,71341.0,68560.0,77128.0,70561.0,72216.0,70142.0,71895.0,66399.0,70561.0,68631.0,74514.0,69241.0,70652.0,75836.0,71507.0,66624.0,74219.0,70594.0,67105.0,68596.0,68953.0,72088.0,70004.0,75792.0,72662.0,72375.0,67968.0,69336.0,71822.0,68755.0,64894.0,72880.0,72287.0,67297.0,68828.0,68532.0,71177.0,69862.0,70349.0,68729.0,71578.0,74332.0,70547.0,73999.0,69079.0,72033.0,76729.0,71509.0,71909.0,68749.0,73142.0,69469.0,70869.0,68333.0,72018.0,68880.0,78255.0,71205.0,72716.0,66492.0,70391.0,70753.0,70366.0,76960.0,73151.0,68667.0,67489.0,67799.0,70545.0,68876.0,67163.0,70521.0,76641.0,70563.0,68876.0,69085.0
67764.0,70119.0,78183.0,70582.0,69652.0,69109.0,75308.0,66742.0,70694.0,68861.0,75198.0,64353.0,68408.0,69368.0,66509.0,75134.0,69001.0,68852.0,73821.0,68594.0,67823.0,65778.0,71474.0,74897.0,70423.0,69430.0,73892.0,69152.0,70761.0,72677.0,66202.0,71901.0,72447.0,68651.0,68340.0,71311.0,65228.0,71217.0,67304.0,72644.0,70344.0,68578.0,72604.0,66877.0,66906.0,70768.0,73006.0,69295.0,71088.0,68267.0,74743.0,70362.0,67475.0,72924.0,68192.0,65014.0,74737.0,69598.0,72071.0,67810.0,70594.0,68940.0,70831.0,69643.0,66900.0,71457.0,66298.0,66506.0,69553.0,67749.0,70009.0,68691.0,66871.0,70625.0,68142.0,67108.0,69149.0,71138.0,69957.0,66545.0,73765.0,69760.0,72114.0,68786.0,70505.0,68922.0,67255.0,72144.0,68475.0,69465.0,67438.0,68090.0,68938.0,68056.0,71618.0,70163.0,67091.0,67952.0,69226.0,70207.0
65336.0,66300.0,73897.0,79221.0,68260.0,70753.0,72412.0,66080.0,71644.0,65811.0,69768.0,66882.0,68994.0,70063.0,66532.0,63371.0,69681.0,71276.0,67619.0,69138.0,68829.0,71853.0,73340.0,75168.0,67177.0,66633.0,75591.0,67510.0,68616.0,68527.0,65659.0,71620.0,73150.0,74808.0,65816.0,67938.0,69691.0,67973.0,65993.0,64071.0,68799.0,67095.0,68294.0,67344.0,65090.0,68323.0,69600.0,68861.0,69075.0,69111.0,75218.0,68632.0,69962.0,67558.0,65982.0,66816.0,70718.0,67670.0,68611.0,68021.0,70917.0,67353.0,74094.0,75915.0,67617.0,67167.0,73952.0,63882.0,65321.0,65957.0,68866.0,67076.0,68562.0,66283.0,69335.0,67014.0,68826.0,73419.0,75748.0,70646.0,69010.0,64182.0,66777.0,66619.0,71337.0,67809.0,67813.0,72375.0,67129.0,72708.0,66472.0,69593.0,68192.0,70157.0,68182.0,72576.0,69539.0,69791.0,70279.0,67332.0
62645.0,66221.0,72543.0,67771.0,71867.0,70984.0,72168.0,64686.0,69635.0,69745.0,66584.0,72648.0,70261.0,70382.0,68685.0,67540.0,72012.0,71770.0,67945.0,64601.0,67603.0,66576.0,74380.0,69841.0,70120.0,67062.0,73096.0,69336.0,69348.0,73075.0,66889.0,67576.0,71521.0,75141.0,66716.0,67039.0,69089.0,71693.0,64432.0,66837.0,66916.0,75742.0,71450.0,65350.0,66022.0,71779.0,70253.0,73506.0,65759.0,65177.0,72688.0,68705.0,70128.0,67928.0,65015.0,65446.0,70226.0,67127.0,68890.0,67863.0,70830.0,63603.0,67995.0,73750.0,70839.0,67395.0,66487.0,67103.0,70840.0,65513.0,67473.0,66518.0,69626.0,62180.0,69611.0,69521.0,68727.0,69410.0,68475.0,71605.0,68824.0,68380.0,70292.0,67284.0,67131.0,65205.0,68901.0,70311.0,65042.0,68574.0,69838.0,66159.0,68720.0,70652.0,71175.0,69793.0,63690.0,66372.0,71817.0,66183.0
66609.0,67985.0,68912.0,69530.0,65002.0,67722.0,69001.0,67423.0,66374.0,64148.0,66490.0,69823.0,68858.0,68724.0,72586.0,66819.0,68742.0,75254.0,66695.0,69658.0,65224.0,67256.0,74440.0,72122.0,69823.0,65622.0,73398.0,73131.0,70291.0,69260.0,68373.0,68995.0,75398.0,71104.0,66337.0,63414.0,68187.0,69927.0,63761.0,62672.0,70071.0,70553.0,65327.0,63657.0,67551.0,65431.0,63986.0,74947.0,69271.0,63017.0,71354.0,66587.0,68614.0,66869.0,64724.0,69137.0,68187.0,69265.0,66733.0,73054.0,71657.0,68947.0,69361.0,76648.0,67628.0,68245.0,67452.0,69377.0,66277.0,65291.0,66775.0,65636.0,67490.0,64276.0,69581.0,70040.0,72378.0,69472.0,67998.0,69889.0,64751.0,67252.0,73044.0,65476.0,67272.0,66371.0,65928.0,73864.0,66171.0,68307.0,73777.0,69092.0,73875.0,73348.0,65757.0,71967.0,65827.0,67809.0,71272.0,64343.0
65597.0,64494.0,64895.0,68612.0,67790.0,67795.0,66573.0,65633.0,64667.0,62428.0,68749.0,63498.0,66666.0,69044.0,68255.0,63812.0,69514.0,71309.0,66871.0,69204.0,68403.0,70754.0,73620.0,67558.0,68792.0,69452.0,68485.0,70199.0,69164.0,70892.0,67377.0,71429.0,72289.0,72736.0,65130.0,68036.0,69863.0,69818.0,61093.0,64574.0,65493.0,63772.0,66851.0,66057.0,66666.0,67503.0,63015.0,77558.0,66431.0,62342.0,65872.0,70777.0,66966.0,63671.0,66054.0,69133.0,69555.0,68226.0,67559.0,66537.0,72955.0,62844.0,67859.0,70373.0,72172.0,71119.0,65679.0,69055.0,64891.0,65597.0,67457.0,66361.0,64849.0,62902.0,70149.0,69130.0,68169.0,70297.0,64138.0,65773.0,65073.0,63028.0,67566.0,64663.0,68643.0,68200.0,66452.0,72158.0,70479.0,66514.0,73448.0,65433.0,67509.0,68901.0,66938.0,66747.0,64789.0,67793.0,69601.0,68247.0
63187.0,68391.0,67888.0,69841.0,64953.0,68650.0,72170.0,65019.0,67057.0,68005.0,69351.0,66853.0,67113.0,71910.0,65964.0,67616.0,73273.0,68253.0,63755.0,67336.0,65554.0,66093.0,72979.0,66549.0,69100.0,64172.0,72490.0,68004.0,63813.0,67318.0,66453.0,66127.0,71064.0,76010.0,66756.0,71291.0,70439.0,69536.0,63356.0,63910.0,69968.0,65021.0,67270.0,63825.0,68951.0,67555.0,66574.0,69099.0,66582.0,65147.0,64320.0,65089.0,67612.0,65984.0,63807.0,69172.0,66814.0,67853.0,68339.0,71454.0,70042.0,63680.0,63653.0,73361.0,67178.0,66952.0,66192.0,68493.0,65259.0,67723.0,64235.0,67358.0,66773.0,66587.0,61275.0,67877.0,70213.0,77394.0,73560.0,70087.0,66542.0,67666.0,65642.0,69987.0,64160.0,67359.0,67345.0,69507.0,66097.0,68846.0,72202.0,67168.0,68722.0,67630.0,65617.0,67272.0,68534.0,66008.0,66372.0,66641.0
66773.0,65929.0,66678.0,68435.0,65575.0,66131.0,68452.0,69509.0,65230.0,63178.0,67259.0,61792.0,70339.0,70096.0,66475.0,69815.0,69445.0,64276.0,65576.0,67653.0,70084.0,65706.0,69262.0,63936.0,69224.0,64313.0,68490.0,66397.0,67233.0,67771.0,65599.0,65790.0,68209.0,75711.0,66591.0,69922.0,67490.0,67474.0,66788.0,64229.0,68551.0,66647.0,67806.0,63114.0,65090.0,66165.0,65988.0,67941.0,66274.0,65308.0,66933.0,68646.0,67122.0,65752.0,64063.0,68213.0,64447.0,67390.0,72160.0,66269.0,72851.0,65383.0,70812.0,70322.0,74468.0,67962.0,72464.0,65086.0,69304.0,66121.0,64578.0,65359.0,69016.0,67872.0,63674.0,69541.0,73065.0,74887.0,66762.0,68921.0,62493.0,68490.0,70082.0,63966.0,63374.0,64656.0,72985.0,66509.0,69812.0,76479.0,74479.0,66480.0,67537.0,66923.0,67480.0,64473.0,66888.0,66619.0,67880.0,66314.0
63380.0,64849.0,68998.0,66721.0,64762.0,65326.0,70562.0,66559.0,67056.0,67889.0,66678.0,69884.0,71124.0,65033.0,65758.0,64912.0,64137.0,62750.0,65326.0,66659.0,68718.0,66051.0,71775.0,64322.0,69336.0,66860.0,69055.0,66425.0,66720.0,65516.0,65185.0,64042.0,70030.0,67196.0,69355.0,67176.0,70546.0,66579.0,66516.0,66242.0,69126.0,67051.0,67153.0,66824.0,67159.0,68564.0,65818.0,73868.0,69789.0,66155.0,64835.0,65374.0,67140.0,66214.0,64569.0,67136.0,63182.0,67721.0,69115.0,65717.0,71808.0,62175.0,65390.0,67900.0,69951.0,67860.0,67993.0,66445.0,62934.0,62382.0,64906.0,68867.0,66425.0,62490.0,62416.0,70181.0,70500.0,75095.0,68335.0,67720.0,64593.0,62280.0,69179.0,64814.0,63857.0,69486.0,67188.0,68081.0,66081.0,70568.0,69899.0,70649.0,67806.0,66696.0,64018.0,65896.0,65342.0,64960.0,64799.0,65214.0
